household_total_assets,annual_household_income
1230531,15724
4877446,124751
4430878,124372
1954751,179311
2179963,56355
3685318,284803
4675156,247334
447069,226429
3912570,91413
4157580,260992
4238546,187065
4190288,234323
100359,124518
1570630,168200
4423419,56722
1752823,38343
28118,151378
1501102,288596
536790,178170
4488734,39657
2669462,125868
869841,45753
482431,44636
4378149,40699
4089545,219113
854946,108767
375144,143578
1631381,31829
713230,141267
4542203,213504
3749462,108609
1684695,184877
1114895,140334
4115237,194086
4030337,63715
3128781,65255
3760891,137239
636012,232104
504965,106758
987875,250526
1877480,50508
2288447,242764
3968638,275184
2174307,119529
1761030,264446
2106033,160884
4092631,54574
2934935,156110
1586958,252491
471955,229239
218374,177028
3162669,34082
3332342,282282
4836347,200621
2225999,87644
4497205,89248
3472417,182304
2687418,127544
1180962,766
3260564,133631
3313415,111145
752450,94135
4863420,198529
4622575,41148
850286,282875
585038,203317
4930570,67585
2250196,148631
1493971,291754
2198885,4316
1754703,35673
1076573,193114
1372456,14034
4038127,138383
2720657,200902
3366957,274403
2731348,220892
2741967,98853
3513087,220347
2831641,247536
4582491,85756
4040025,258604
2034506,103706
1183150,170575
1819629,3299
3153017,107523
1206913,164613
2988328,282286
3003535,265000
3685819,7408
3533374,190561
4844314,132003
212275,165188
2972507,97235
3655844,196076
4798360,207379
2090366,85304
2636094,211246
2462624,222683
3765841,293676
3436953,272411
233117,156807
2996665,80014
1638086,221160
4139962,86233
1765937,127997
1442601,228922
3744202,62018
3442011,142468
423420,63360
2972979,162999
4820170,225846
4624242,263123
925078,227272
4001251,147467
1713039,39695
4112338,160624
201007,93040
3793234,292036
2971329,137452
2252882,3554
2369090,252312
3760697,30491
1534081,48743
41669,125242
1466431,63686
2793856,184421
499475,245183
3372873,192293
608922,126351
1961411,136434
763123,52907
58820,286160
2254678,227346
1298821,7331
401486,353
4257667,237591
4468550,116018
4843714,127546
4766810,125542
4459108,263044
2084813,235783
1557272,283372
1096899,236490
247235,99302
3281446,256946
4020917,28354
2421833,282547
174574,4110
558424,14107
3717325,279151
94189,285340
3738281,160068
564181,92436
4725619,105776
1444770,152963
480676,217172
1381031,240088
268091,115042
4573955,21462
4201545,155768
1489986,136629
1083785,43320
1106701,190222
266836,210554
312875,179339
4579964,143926
323117,137426
4981673,128533
4213677,294970
787153,50340
3956619,299648
2505872,45741
4163719,49743
1657840,219528
2151292,115039
1465873,199276
4587269,138703
3999961,103572
4000709,165248
852080,216739
2086696,126991
3080878,285772
1001865,159712
2985987,121964
3136211,158946
4716693,85492
1001541,54507
4630455,268559
4103855,131640
4373696,123339
2355859,264277
3355806,108908
1953168,180259
3156769,86088
3036674,181330
1333946,203202
3564721,292876
2902876,276850
1727693,293232
3385855,218333
3810419,18669
421634,225720
2729626,277274
4642033,141057
3931096,127335
146661,299598
1719849,215403
4203715,43237
3420653,278525
3060846,168311
176160,6208
3478229,113247
1021084,293891
2655288,148692
1633677,52626
1844565,269784
1804014,151958
105234,39859
1245989,12443
1218315,49485
4256166,279017
3439750,23168
37215,155530
1231852,297648
3323216,55886
1718317,156544
1455612,182141
2583482,242436
388198,237774
3979846,129894
2944326,3163
3870673,157182
2585095,280316
1276,42362
3911527,67076
944579,27828
2666710,75015
4319547,7813
2910584,33547
3378548,238063
924342,189407
3070425,135596
237985,209315
4147019,266822
2845540,164898
1229241,25416
4729183,81454
4601802,217517
98379,38349
4378954,36291
1641046,116965
3527845,215727
3362165,293165
2782805,144919
4005175,298389
2938418,70392
2221938,258727
4128991,71837
4474083,55539
1006284,69827
2070890,285914
4224201,54669
919734,164486
791717,3385
4535969,245684
3464655,152482
3920486,236748
1582339,133216
835311,116985
3531923,152255
4693332,215181
3659540,261630
1043558,36072
4443854,195261
1272113,165952
3507965,271594
1478841,95665
981211,137146
1393900,196867
2617869,1598
3766505,163199
203715,259103
166579,30301
3513700,223125
3000330,64574
496937,120496
4523714,229068
3681721,249351
2529614,96634
303956,146516
85289,226594
4745109,18885
343828,192021
1670716,40916
4467281,32
49932,57384
4767815,55548
1589494,59590
1418013,181231
4215162,95806
1908151,198708
3171548,211074
116383,110317
637046,103652
3171801,297385
826525,275535
3512746,31847
4829539,32413
2561200,155243
4121823,129947
478878,22426
1707938,80220
3598446,298673
3507929,241690
240877,107828
1631438,232223
1619867,29937
1642642,106718
1752946,219799
3625082,169013
4628138,66042
3478719,41080
4663520,243860
3764298,239649
2049944,127119
551040,56057
2730508,34873
2309118,150782
145251,27300
1018301,146385
4625915,69615
4431585,226358
3134766,3377
2401522,191978
1869088,161087
3481600,110128
4843791,104920
3219159,210366
2251553,167237
3797023,195614
4750055,136320
2891705,31339
999177,36549
3142108,94881
4107918,160299
4165191,223241
2638167,45192
4499653,201268
2369904,289996
2409551,241492
3253073,269203
4052728,139695
4382239,296598
710608,186296
4738090,24414
3600593,226293
4182979,147345
183148,249266
4449120,54637
4669611,215154
2529865,51358
2603913,288406
4603516,74971
1716800,228641
3776685,216005
4233928,100248
1591407,282450
3530226,28104
4480619,150028
4786443,158813
763830,226750
4785397,129694
2046782,56039
2108506,124668
1480460,171804
4824942,291986
1912851,11435
1310118,35498
1906789,262248
2139555,210133
1229127,242250
2768041,184027
3410068,219050
1151836,30968
4629139,295774
2709027,275138
4892805,289320
444398,21532
1964826,114787
868032,153716
3753943,284623
2738049,159275
3277412,240582
2728485,237867
920737,133301
865808,71066
31416,110697
4044676,156049
1116370,144107
990793,273899
201841,254575
1384649,298368
3318075,284741
4902782,189919
4192778,131352
1537728,13998
232443,214531
3849609,270136
4987872,116092
1519648,171892
2929992,278490
2011553,102404
454826,35650
3858789,15753
1710381,63154
3670863,246548
205943,269666
2587509,146052
3473346,165338
2535454,191570
3152046,196586
944977,174027
2935272,241800
4317002,73934
2868676,229238
788936,206415
2140041,53374
47169,162188
987732,129713
4514169,173140
2834648,151246
278380,258165
1844435,126165
786052,208785
2524160,230477
172076,194452
117588,112734
2744708,270310
4495921,182005
242871,200152
3736056,11377
4348300,296
3237981,263650
4082872,191424
2099572,230611
3401214,285578
16277,98174
3012331,158899
2421442,10825
3420316,46008
3947417,250588
1856325,95602
2070103,6744
3970603,69170
520367,34591
1995884,236885
4723231,180606
3745857,120142
3300678,263263
3519902,53052
4382572,157986
565273,169116
2273652,221477
4934454,208409
4040328,274816
4216257,78558
19512,31629
3834531,37571
3556006,237180
4205304,235698
2010783,192068
4579115,59429
4124171,294879
46284,247198
2058314,252396
3578123,160720
3651348,124093
1536457,23049
4052329,133704
4860863,286234
4580978,168012
505273,291898
2340032,274506
4172759,111926
2942926,33040
166550,290889
882227,182190
2810381,140289
3388705,100680
4005021,249774
1512892,45429
3393216,240591
2309646,43209
3291401,94557
1671133,236678
674207,106994
628728,170841
226445,271356
2560516,113464
1193660,50691
3013170,297826
434171,281425
4083304,86898
2523565,76299
997778,103815
3462967,28605
4689097,190663
539389,166218
3647621,13454
3428025,60026
537990,86994
1301131,144861
1192690,6810
1928943,120827
2769402,129358
2072274,180408
4282977,72614
4023973,236942
1101951,142138
1307703,218441
263102,218418
4093173,74494
1053284,15977
3451272,148683
3094748,77502
4939605,251547
3900323,273121
3275850,154997
3760085,75541
3929373,109901
4729357,108776
750615,63981
3311816,146867
750234,1363
942824,33226
4135195,285395
1749475,168733
2636751,64260
1884792,217586
848024,90306
3842137,13507
205078,100467
2497592,147244
3120174,243488
2324599,171361
2744407,31223
3987648,87527
4815625,293277
4927037,244868
3863439,63235
1450531,268813
2687375,211764
2162914,150871
2958851,241640
4314136,263906
3450710,175003
283496,188235
3204341,45258
1187163,243403
2678187,48935
4724708,170810
1928688,207009
2451024,156764
4532852,104227
2309293,34347
3031875,97265
2433648,230118
3286457,49982
2601114,71766
4605088,279785
4004862,182022
3779101,215287
659957,176629
3726778,267539
2137901,255673
3955984,159524
378972,117796
1621825,171503
212952,66963
1579212,99335
2987149,132113
2693695,78438
3642153,274194
622631,68956
1608685,247641
4131333,22461
1744863,190364
4983051,61639
1253084,50493
897830,275366
1288282,210976
525082,288776
4817218,16652
2871245,202533
1691239,7573
2667685,201801
13210,705
670785,279152
1492761,85
1849096,14770
4387857,111543
955635,70428
1053222,220448
2893617,85406
1382201,90039
2337127,205023
4161319,261368
905261,59233
312153,19893
4703656,134877
3313662,79031
3398738,203351
4344092,64923
535381,222246
2189377,136824
3871235,184515
4696050,298034
612130,292589
2671092,171357
993546,168635
1520440,93086
3117563,76860
1275112,12984
4235467,196658
2056961,77076
1188262,82935
1866734,208252
1659208,80699
1066773,134500
3693428,237251
1444825,252867
3230218,274857
2650036,55689
662477,266218
2730317,259947
4826939,240315
3573681,24324
4702134,39980
4015113,299439
4474310,153218
2093066,259972
3764320,454
3135754,155955
4728426,94429
823820,229574
2939027,154430
1882435,17967
1752254,96015
3224852,10293
1771140,17751
239969,61855
1627628,42836
4564850,59036
804392,133137
460003,282742
2205805,92294
267036,252467
2632902,37773
2730096,10664
785791,199898
2739853,19823
2959518,250817
1416871,179355
4756613,287792
3427217,191152
2589704,16481
1791313,222412
2472381,102901
3867383,46591
1472218,95778
4328701,160269
4524352,142092
2871324,215131
722625,130407
4033732,117199
2672605,255776
4417568,203842
2914567,265164
755007,35615
1032668,176669
2970237,131302
3077939,140359
4865260,266441
3710491,222526
2887770,195190
3423197,228048
3599144,284410
4653258,119546
3659753,95029
4252045,18656
4511723,19220
1809129,221572
3360872,45220
658695,108491
4497333,130133
796109,263648
2485781,58269
4635910,226718
695706,184005
1915619,44894
3784695,16446
2794270,263248
3305163,183165
3750077,127008
2287082,204371
955940,226892
2457125,252090
1452957,195071
1466998,162509
2320208,236869
3019364,955
4595975,280006
971008,226149
2660073,195382
3401030,27716
3430587,274073
1273104,57214
45430,125838
154029,244338
1282283,251214
1167181,97736
95287,272723
1058935,190643
2847231,274787
886524,47862
4157076,283880
4580283,15361
231911,191691
3186115,212887
1577254,94513
4276896,185707
3991027,127037
334507,148168
4426057,215843
2209392,84551
384157,160803
1741781,250106
1914444,197444
2515396,166464
469547,110790
4940822,242216
4009117,211883
1518021,33919
4808896,146095
414306,93462
1603090,144150
2451391,286387
1499760,181420
3871898,272286
3504655,271997
857504,67632
4310720,32594
2937309,251068
4211794,268978
38834,135485
1233796,251097
4787529,141797
3544044,157737
3707608,33871
1557945,124798
2944264,238624
4921073,22366
2253118,286896
1865839,118905
1265337,83442
752839,158382
3317942,61679
3303162,249951
3558778,63783
4400004,48674
3693213,258855
3561965,223942
4706388,221306
1404253,96569
706140,256256
1429466,216539
812284,109336
1746658,123326
4966829,23453
1815043,198964
1089474,184966
3802691,4871
2858405,106416
4401570,166119
1111483,235716
2622724,186162
2358431,217636
1349719,144594
1886498,65276
2466713,38640
659798,126489
2951189,52893
2438246,294497
1565669,67129
1200872,19054
2825707,73694
4088992,125782
3511761,21705
3926935,44876
3269404,251809
4057374,256809
1946096,126341
2065325,165657
450013,74082
3448583,286638
923136,135067
1296527,95859
3534607,262929
1184248,176839
1475239,6828
3774087,28374
3899205,97920
1722557,98728
2121036,221295
4908040,48476
1246666,50658
2014683,47235
1405638,224183
207989,264628
3877218,63445
1894588,89852
1901175,63355
803125,238251
2880444,135437
4988522,106133
1265202,84164
1705538,199810
4056236,106238
372066,2939
3795432,45635
1112046,195334
3518897,203578
3740787,45591
1213339,237412
3553589,31290
1156284,202707
2941428,238499
2931541,52368
518139,153547
872495,244268
2941895,98316
589940,136622
776668,41561
3399742,299383
335200,10098
1971577,229158
4259671,169778
1756151,245247
3368941,271486
2590692,140507
4130889,28179
539225,45477
2976320,35623
3268797,78453
4111887,190562
3137807,243168
2708482,83677
4531059,42551
4493880,142
4944891,70234
671344,271437
215649,191901
1759546,204440
3275839,107560
3857061,228033
3064915,138759
3626984,46631
126106,222272
810990,71558
2302294,114331
1900405,177050
3845812,210463
711299,103699
2334478,58797
4980150,94366
1807390,132697
2813076,236292
3069184,169107
834653,203986
3423762,9675
2466642,177980
1079952,92200
3506374,124019
1904497,80547
3840581,204409
2728603,8169
2070482,224289
3610357,120446
2754279,180271
4950668,59191
1067410,11290
1934614,283072
1627175,197104
2532721,129517
3078703,149798
1095067,176237
334126,244772
2077129,265785
1360551,248135
3756011,190991
2960491,143676
3034628,37020
4540315,244355
4729305,280925
116529,258383
4410697,204925
4188204,199926
1521052,58329
4509634,269216
4434599,178866
3639159,124059
1074506,82223
1079853,293009
1923204,31615
3972652,197492
4565519,235795
3140045,298080
4250151,215749
4625205,236428
1450112,297708
221030,201412
4354592,15943
131042,72305
4302831,28731
4227246,274956
821461,161169
2284359,151272
4189845,189743
3498885,72310
4144935,277950
1767753,104803
240759,19045
4826404,288070
400619,28866
3767587,228228
3485608,114992
4000457,106650
3511327,218704
4758099,260044
1071278,130484
3459783,273536
4495947,205531
2623635,250885
3850845,131075
3174133,21729
1444325,194622
2405693,67665
1255102,297939
621589,290157
4012483,92879
3803396,68783
3661982,295351
2756120,256819
1099789,204623
576898,64036
1596954,288370
4727592,202724
1770342,164017
509362,57568
1621075,223204
3736268,92184
4214399,61831
3882455,32012
1671103,298312
1591251,51056
3591491,189655
578451,140508
1381461,278168
3902300,70247
4874216,188466
3317076,276539
2941009,32966
4164825,89093
2651719,203791
4233967,221173
1144031,118662
3905305,228086
664931,51925
960751,274007
4612277,98066
56534,164265
505213,263636
4510957,167601
2549036,188593
232939,2216
2176067,92150
1461298,243031
4306998,156565
1488025,289847
4246903,76505
4599606,190317
1621554,136642
2382019,126018
2860025,114647
4006949,253042
3816007,32384
985874,196997
482927,35603
30641,93254